plants,operator,nrg_bal,siec,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CHP,PRR_AUTO,GEP,TOTAL,GWH,HU	785.000 	633.000 	558.000 	512.000 	519.000 	453.000 	610.000 	416.000 	352.000 	381.000 	332.000 	356.000 	409.000 	402.000 	376.000 	401.000 	468.000 	494.000 	438.000 	507.000 	840.000 	714.000 	641.000 	659.000 	772.000 	802.000 	831.000 	852.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,IE	2189.029 	2198.750 	2157.494 	2071.680 	2056.659 	2127.349 	1964.134 	1946.361 	1832.593 	1878.857 	1822.549 	1590.037 	629.892 	668.000 	634.000 	629.000 	579.000 	579.000 	381.000 	412.000 	290.000 	235.000 	237.000 	222.000 	205.000 	196.000 	187.000 	195.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,IT	18735.698 	17333.000 	17750.000 	14406.000 	14703.000 	14776.000 	21769.000 	21730.000 	18237.000 	17008.000 	17505.000 	16051.000 	17440.000 	16525.000 	16910.000 	: 	: 	: 	49562.000 	44291.000 	39860.000 	31201.000 	27976.000 	25713.000 	22356.000 	19167.000 	17436.000 	15890.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,LT	826.100 	888.000 	931.000 	736.000 	621.000 	787.000 	600.000 	552.000 	622.000 	451.000 	614.000 	365.000 	373.000 	335.000 	199.000 	159.000 	85.000 	108.000 	79.000 	74.000 	67.000 	55.000 	50.000 	34.000 	37.000 	72.000 	115.000 	149.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,LU	165.411 	177.029 	163.997 	169.072 	185.939 	181.443 	177.244 	188.128 	180.923 	162.614 	153.251 	185.542 	174.919 	171.598 	145.871 	131.809 	66.399 	47.549 	179.000 	175.000 	101.000 	112.000 	102.000 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,TOTAL,GWH,LV	187.724 	207.000 	253.000 	246.000 	251.000 	176.000 	79.000 	65.000 	60.000 	59.000 	66.000 	75.000 	78.000 	80.000 	53.000 	41.000 	39.000 	34.000 	47.000 	69.000 	82.000 	90.000 	76.000 	32.000 	42.000 	72.000 	86.000 	109.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,MD	47.000 	41.000 	39.000 	61.000 	36.000 	29.000 	29.000 	32.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,TOTAL,GWH,MK	: 	: 	: 	1.000 	2.000 	2.000 	2.000 	2.000 	1.000 	3.000 	3.000 	1.000 	3.000 	5.000 	6.000 	6.000 	5.000 	12.000 	26.000 	46.000 	31.000 	36.000 	9.000 	22.000 	46.000 	70.000 	70.000 	115.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,MT	9.738 	8.000 	7.000 	7.000 	6.000 	9.000 	5.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,TOTAL,GWH,NL	21401.943 	19703.118 	20045.785 	19295.000 	22266.000 	23215.000 	22620.000 	21743.000 	19502.000 	19715.000 	16647.000 	14680.000 	12294.000 	11374.000 	11200.000 	11249.000 	11332.000 	11543.000 	11089.000 	11495.000 	11459.000 	11101.000 	10757.000 	12617.000 	12232.000 	13337.000 	12115.000 	11938.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,NO	2521.000 	2598.000 	2596.000 	2587.000 	2425.000 	2564.000 	2507.000 	2141.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,TOTAL,GWH,PL	11742.771 	10330.000 	9322.000 	8871.000 	8913.000 	8446.000 	8340.000 	7964.000 	6880.000 	6739.000 	7863.000 	8221.000 	8124.000 	8175.000 	7996.000 	7808.000 	7714.000 	7201.000 	7203.000 	7485.000 	8006.000 	8131.000 	8361.000 	8432.000 	8525.000 	8150.000 	7852.000 	8099.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,PT	6955.614 	6809.000 	6984.000 	7294.000 	7873.000 	7381.000 	7406.000 	6971.000 	5801.000 	5364.000 	5732.000 	5076.000 	4871.000 	4504.000 	4464.000 	4563.000 	4124.000 	4256.000 	4504.000 	3948.000 	3770.000 	3210.000 	3096.000 	2620.000 	2126.000 	1785.000 	1602.000 	1403.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,RO	956.182 	967.000 	1467.000 	1561.000 	1749.000 	2223.000 	2133.000 	1957.000 	1764.000 	2442.000 	2122.000 	2035.000 	2185.000 	2134.000 	1718.000 	1607.000 	1355.000 	1313.000 	1178.000 	1044.000 	936.000 	1114.000 	1111.000 	1235.000 	1355.000 	1548.000 	: 	: 
CHP,PRR_AUTO,GEP,TOTAL,GWH,RS	526.346 	453.000 	318.000 	289.000 	202.000 	171.000 	146.000 	156.000 	14.000 	11.000 	101.000 	124.000 	188.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,TOTAL,GWH,SE	6203.000 	5727.000 	5816.000 	5785.000 	5844.000 	6333.000 	6000.000 	6592.000 	5573.000 	6456.000 	5972.000 	5179.000 	4704.000 	4741.000 	4594.000 	4496.000 	3920.000 	3777.000 	3544.000 	3728.000 	4008.000 	4095.000 	3929.000 	3920.000 	3616.000 	3165.000 	2981.000 	2746.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,SI	265.174 	265.000 	265.000 	267.000 	243.000 	246.000 	242.000 	286.000 	291.000 	269.000 	293.000 	308.000 	355.000 	362.000 	322.000 	320.000 	422.000 	450.000 	363.000 	353.000 	421.000 	365.000 	417.000 	369.000 	411.000 	466.000 	600.000 	1004.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,SK	2451.000 	2390.000 	2419.000 	2185.000 	1726.000 	1973.000 	1982.000 	1902.000 	1975.000 	2656.000 	2650.000 	2706.000 	2345.000 	2211.000 	2304.000 	2323.000 	2313.000 	1570.000 	1359.000 	1251.000 	1802.000 	1585.000 	1661.000 	1344.000 	1590.000 	2492.000 	2361.000 	2583.000 
